"species","sci_name","GenLength"
"Abert's Towhee","Melozone aberti",2.657521365
"Acadian Flycatcher","Empidonax virescens",2.657902826
"Acorn Woodpecker","Melanerpes formicivorus",4.71306791
"Alder Flycatcher","Empidonax alnorum",2.162931103
"Allen's Hummingbird","Selasphorus sasin",1.968304783
"American Avocet","Recurvirostra americana",4.550597019
"American Bittern","Botaurus lentiginosus",3.52468164
"American Black Duck","Anas rubripes",4.821432747
"American Coot","Fulica americana",4.031447748
"American Crow","Corvus brachyrhynchos",7.993566253
"American Dipper","Cinclus mexicanus",2.518614967
"American Golden-Plover","Pluvialis dominica",4.088413021
"American Goldfinch","Spinus tristis",2.379974974
"American Kestrel","Falco sparverius",3.029874828
"American Oystercatcher","Haematopus palliatus",10.57979184
"American Pipit","Anthus rubescens",2.058400577
"American Redstart","Setophaga ruticilla",2.290661573
"American Robin","Turdus migratorius",3.146893471
"American Three-toed Woodpecker","Picoides tridactylus",3.07341632
"American Tree Sparrow","Spizelloides arborea",2.385897614
"American White Pelican","Pelecanus erythrorhynchos",15.03473199
"American Wigeon","Mareca americana",3.89349214
"American Woodcock","Scolopax minor",3.860470492
"Ancient Murrelet","Synthliboramphus antiquus",5.455651679
"Anhinga","Anhinga anhinga",6.251448767
"Anna's Hummingbird","Calypte anna",2.079680549
"Arctic Tern","Sterna paradisaea",11.27037394
"Arctic Warbler","Phylloscopus borealis",2.064107876
"Ash-throated Flycatcher","Myiarchus cinerascens",2.989367065
"Atlantic Puffin","Fratercula arctica",14.22956209
"Bachman's Sparrow","Peucaea aestivalis",2.01129262
"Baird's Sandpiper","Calidris bairdii",3.570053391
"Baird's Sparrow","Centronyx bairdii",2.13507425
"Bald Eagle","Haliaeetus leucocephalus",14.1937938
"Baltimore Oriole","Icterus galbula",2.680863532
"Band-tailed Pigeon","Patagioenas fasciata",4.394132128
"Bank Swallow","Riparia riparia",2.279290105
"Barn Owl","Tyto alba",5.81585489
"Barn Swallow","Hirundo rustica",3.132150175
"Barred Owl","Strix varia",6.404935458
"Barrow's Goldeneye","Bucephala islandica",6.602453125
"Bay-breasted Warbler","Setophaga castanea",2.053568026
"Bell's Sparrow","Artemisiospiza belli",2.362743673
"Bell's Vireo","Vireo bellii",2.186976141
"Belted Kingfisher","Megaceryle alcyon",2.692133072
"Bendire's Thrasher","Toxostoma bendirei",2.536164707
"Bewick's Wren","Thryomanes bewickii",1.994533614
"Black-and-white Warbler","Mniotilta varia",2.592005464
"Black-backed Woodpecker","Picoides arcticus",3.350072462
"Black-bellied Plover","Pluvialis squatarola",7.553302577
"Black-billed Cuckoo","Coccyzus erythropthalmus",2.543153489
"Black-billed Magpie","Pica hudsonia",4.123549167
"Black-capped Chickadee","Poecile atricapillus",2.623277
"Black-chinned Hummingbird","Archilochus alexandri",2.449862119
"Black-chinned Sparrow","Spizella atrogularis",2.388759557
"Black-crested Titmouse","Baeolophus atricristatus",2.773136012
"Black-crowned Night-Heron","Nycticorax nycticorax",5.994405196
"Black-headed Grosbeak","Pheucticus melanocephalus",2.626122912
"Black-legged Kittiwake","Rissa tridactyla",9.781390857
"Black-necked Stilt","Himantopus mexicanus",5.599142123
"Black-tailed Gnatcatcher","Polioptila melanura",1.686474104
"Black-throated Blue Warbler","Setophaga caerulescens",2.256927131
"Black-throated Gray Warbler","Setophaga nigrescens",2.430695515
"Black-throated Green Warbler","Setophaga virens",1.985630255
"Black-throated Sparrow","Amphispiza bilineata",2.202279982
"Black-whiskered Vireo","Vireo altiloquus",2.860394463
"Black Guillemot","Cepphus grylle",9.218016945
"Black Oystercatcher","Haematopus bachmani",13.44842345
"Black Phoebe","Sayornis nigricans",2.106409313
"Black Scoter","Melanitta americana",5.343234274
"Black Skimmer","Rynchops niger",7.011577329
"Black Swift","Cypseloides niger",3.738376237
"Black Tern","Chlidonias niger",5.682020735
"Black Turnstone","Arenaria melanocephala",5.55907662
"Black Vulture","Coragyps atratus",14.19923167
"Blackburnian Warbler","Setophaga fusca",2.237287672
"Blackpoll Warbler","Setophaga striata",2.083837971
"Blue-gray Gnatcatcher","Polioptila caerulea",1.837491668
"Blue-headed Vireo","Vireo solitarius",2.339618291
"Blue-winged Teal","Spatula discors",3.937736958
"Blue-winged Warbler","Vermivora cyanoptera",2.135991434
"Blue Grosbeak","Passerina caerulea",3.085739873
"Blue Jay","Cyanocitta cristata",5.15878621
"Boat-tailed Grackle","Quiscalus major",3.981324655
"Bobolink","Dolichonyx oryzivorus",2.86256725
"Bohemian Waxwing","Bombycilla garrulus",2.812218458
"Bonaparte's Gull","Chroicocephalus philadelphia",6.67781153
"Boreal Chickadee","Poecile hudsonicus",2.262583194
"Brandt's Cormorant","Phalacrocorax penicillatus",7.174787446
"Brant","Branta bernicla",9.908548955
"Brewer's Blackbird","Euphagus cyanocephalus",2.706886845
"Brewer's Sparrow","Spizella breweri",2.117613195
"Bridled Titmouse","Baeolophus wollweberi",2.555563954
"Broad-tailed Hummingbird","Selasphorus platycercus",2.592795163
"Broad-winged Hawk","Buteo platypterus",5.770490449
"Bronzed Cowbird","Molothrus aeneus",2.459147624
"Brown-crested Flycatcher","Myiarchus tyrannulus",3.281657418
"Brown-headed Cowbird","Molothrus ater",3.285866402
"Brown-headed Nuthatch","Sitta pusilla",2.710632816
"Brown Creeper","Certhia americana",1.724861893
"Brown Pelican","Pelecanus occidentalis",9.953688603
"Brown Thrasher","Toxostoma rufum",2.681555771
"Buff-breasted Sandpiper","Calidris subruficollis",3.93558609
"Bufflehead","Bucephala albeola",5.492261298
"Bullock's Oriole","Icterus bullockii",2.595343415
"Burrowing Owl","Athene cunicularia",3.059077808
"Bushtit","Psaltriparus minimus",2.148992039
"Cackling Goose","Branta hutchinsii",9.217436837
"Cactus Wren","Campylorhynchus brunneicapillus",2.600460286
"California Gull","Larus californicus",9.753341131
"California Quail","Callipepla californica",2.222432767
"California Scrub-Jay","Aphelocoma californica",4.745295137
"California Thrasher","Toxostoma redivivum",2.959549169
"California Towhee","Melozone crissalis",2.729696484
"Calliope Hummingbird","Selasphorus calliope",1.947960776
"Canada Goose","Branta canadensis",9.449200494
"Canada Jay","Perisoreus canadensis",3.668742765
"Canada Warbler","Cardellina canadensis",2.048246608
"Canvasback","Aythya valisineria",5.161870032
"Canyon Towhee","Melozone fusca",2.677993343
"Canyon Wren","Catherpes mexicanus",1.818057318
"Cape May Warbler","Setophaga tigrina",1.889569075
"Carolina Chickadee","Poecile carolinensis",2.486529497
"Carolina Wren","Thryothorus ludovicianus",2.179122367
"Caspian Tern","Hydroprogne caspia",9.749406689
"Cassin's Auklet","Ptychoramphus aleuticus",6.853379493
