"","year","mean","median","sd","lci","uci","Q_025","Q_5","Q_975","parm","obsmean","obslci","obsuci","obsmed","nsurveys","sqrt_n","nstrats","species"
"1",1980,2847.4767910625,805.507,15047.7710927618,134.0139,15786.2325,134.0139,805.507,15786.2325,"N",237.296551724138,0,700,2,145,12.0415945787923,8,"American Avocet"
"2",1981,1862.01775015625,513.477,11626.6511382169,79.56994,9388.90650000001,79.56994,513.477,9388.90650000001,"N",74.3246753246753,0,600.8,0,154,12.4096736459909,6,"American Avocet"
"3",1982,1819.57286659375,503.9795,11812.7802961149,82.5477425,9145.49275,82.5477425,503.9795,9145.49275,"N",163.206703910615,0,1103.9,0,179,13.3790881602597,8,"American Avocet"
"4",1983,3939.464749125,1126.7,24330.4877082275,180.6718,20206.64,180.6718,1126.7,20206.64,"N",155.786516853933,0,656.000000000002,0,178,13.3416640641263,8,"American Avocet"
"5",1984,4898.34134465625,1364.77,30442.018713364,219.6352,25072.9500000001,219.6352,1364.77,25072.9500000001,"N",271.994623655914,0,1663.5,0,186,13.6381816969859,8,"American Avocet"
"6",1985,1868.17895478125,528.6415,11441.7678038155,84.31708,9279.36825000001,84.31708,528.6415,9279.36825000001,"N",95.1618497109827,0,146,0,173,13.1529464379659,7,"American Avocet"
"7",1986,1816.71864390625,508.997,9856.50710468484,85.57436,8775.14275,85.57436,508.997,8775.14275,"N",30.151832460733,0,98,0,191,13.8202749610853,8,"American Avocet"
"8",1987,632.86382094375,177.426,4301.46865415551,28.897785,3241.958,28.897785,177.426,3241.958,"N",37.725,0,152.999999999999,0,200,14.142135623731,8,"American Avocet"
"9",1988,781.50804009375,217.9725,4732.67743624333,32.397495,4008.07700000001,32.397495,217.9725,4008.07700000001,"N",5.94186046511628,0,13.45,0,172,13.114877048604,6,"American Avocet"
"10",1989,809.516883546875,233.991,4388.70411552908,36.9754925,4287.69425,36.9754925,233.991,4287.69425,"N",17.3963414634146,0,139.5,0,164,12.8062484748657,7,"American Avocet"
"11",1990,1129.6178713125,319.282,7927.19062187073,47.7178875,5749.1905,47.7178875,319.282,5749.1905,"N",35.0969696969697,0,193.2,0,165,12.8452325786651,7,"American Avocet"
"12",1991,1786.16600490625,495.089,10429.4826338564,77.1096825,9357.38950000001,77.1096825,495.089,9357.38950000001,"N",25.9855072463768,0,57.3000000000005,0,138,11.7473401244707,8,"American Avocet"
"13",1992,1607.3002905,470.555,8305.26747317239,78.752295,8541.557,78.752295,470.555,8541.557,"N",82.65,0,500.7,0,160,12.6491106406735,9,"American Avocet"
"14",1993,1088.88500484375,307.523,7392.63276062964,47.1064425,5631.15600000001,47.1064425,307.523,5631.15600000001,"N",16.6571428571429,0,40.8,0,105,10.2469507659596,9,"American Avocet"
"15",1994,3036.11113640625,826.6325,21806.8473208484,130.6893,16467.6425,130.6893,826.6325,16467.6425,"N",202.295238095238,0,367.65,0,210,14.4913767461894,9,"American Avocet"
"16",1995,2398.6657751875,674.557,14012.6591403993,107.541025,13390.9175,107.541025,674.557,13390.9175,"N",5.78947368421053,0,15.9,0,152,12.328828005938,8,"American Avocet"
"17",1996,1256.45442771875,367.913,7774.94639929532,55.1182175,6552.01925000001,55.1182175,367.913,6552.01925000001,"N",9.93377483443709,0,73,0,151,12.2882057274445,8,"American Avocet"
"18",1997,1128.2749195625,315.308,7029.67801472496,47.4695875,6006.504,47.4695875,315.308,6006.504,"N",0.873134328358209,0,4.34999999999999,0,134,11.5758369027902,6,"American Avocet"
"19",1998,2540.12212040625,721.163,14706.405341515,114.9132,12579.0725,114.9132,721.163,12579.0725,"N",27.2291666666667,0,63.5999999999999,0,144,12,7,"American Avocet"
