"species","firstyear","Three_gen_time_used","lastyear","start_recent_trend","Difference_late_minus_early_trend","LCI_90_Difference_late_minus_early_trend","UCI_90_Difference_late_minus_early_trend","prob_decreasing_trend","long_term_trend","LCI_long_term_trend","UCI_long_term_trend","early_trend","LCI_early_trend","UCI_early_trend","late_trend","LCI_late_trend","UCI_late_trend"
"Abert's Towhee",1970,10,2019,2009,-0.7,-2.8,0.6,0.81,0.4,-0.1,1,0.6,0,1.3,-0.1,-1.8,1
"Acadian Flycatcher",1970,10,2019,2009,1.6,1,2.3,0,0.1,-0.1,0.2,-0.2,-0.4,-0.1,1.3,0.8,1.9
"Acorn Woodpecker",1970,15,2019,2004,1.6,0.6,2.7,0,0.8,0.5,1.1,0.3,-0.1,0.7,1.9,1.1,2.8
"Alder Flycatcher",1978,10,2019,2009,-0.9,-1.8,0,0.97,-0.4,-0.7,-0.1,-0.2,-0.6,0.2,-1.1,-1.8,-0.3
"Allen's Hummingbird",1970,10,2019,2009,-1.4,-4.3,0.4,0.9,-4.1,-4.8,-3.5,-3.9,-4.6,-3,-5.2,-7.8,-3.6
"American Avocet",1970,14,2019,2005,-1.9,-4.4,0.7,0.93,1.1,0.4,2,1.7,0.8,2.6,-0.2,-2.3,2.1
"American Bittern",1970,11,2019,2008,3.1,1.2,4.9,0,-0.8,-1.3,-0.4,-1.5,-2,-1,1.6,-0.2,3.2
"American Black Duck",1970,15,2019,2004,-0.9,-3.8,1.2,0.77,-1.9,-2.8,-1,-1.6,-2.7,-0.4,-2.4,-4.8,-0.8
"American Coot",1970,13,2019,2006,1.2,-2.4,4.8,0.27,-0.4,-1.4,0.4,-0.7,-1.7,0.3,0.4,-2.7,3.6
"American Crow",1970,24,2019,1995,-1.7,-2.1,-1.4,1,-0.4,-0.5,-0.2,0.5,0.3,0.7,-1.2,-1.4,-1.1
"American Dipper",1970,10,2019,2009,-1,-2.4,0.1,0.96,-0.2,-0.5,0.1,0,-0.4,0.4,-1,-2.2,0
"American Goldfinch",1970,10,2019,2009,-1.2,-1.9,-0.5,1,-0.5,-0.7,-0.3,-0.3,-0.4,0,-1.5,-2.1,-0.8
"American Kestrel",1970,10,2019,2009,-0.1,-0.9,0.7,0.58,-0.7,-0.9,-0.5,-0.7,-0.9,-0.5,-0.8,-1.6,-0.1
"American Redstart",1970,10,2019,2009,1.6,0.7,2.5,0,-0.1,-0.3,0.1,-0.4,-0.7,-0.2,1.2,0.4,1.9
"American Robin",1970,10,2019,2009,-0.8,-1.2,-0.3,1,0.3,0.1,0.4,0.4,0.3,0.6,-0.3,-0.8,0.1
"American Three-toed Woodpecker",1970,10,2019,2009,-0.3,-2.6,1.9,0.63,4,3.1,4.8,4.1,3.1,5,3.8,1.7,5.6
"American White Pelican",1970,25,2019,1994,-6.2,-9.8,-2.4,1,6.6,5.2,8.1,9.8,7.3,12.4,3.6,1.5,5.8
"Anhinga",1970,19,2019,2000,2.9,1.4,4.5,0,1.9,1.3,2.4,0.7,0,1.5,3.7,2.5,4.9
"Anna's Hummingbird",1970,10,2019,2009,0,-0.8,0.9,0.56,2.3,2,2.6,2.3,2,2.6,2.3,1.5,3.1
"Arctic Tern",1993,20,2019,1999,-0.7,-6.8,3.8,0.62,-1.8,-4.1,0.3,-1.3,-5.3,3.9,-2,-4.3,0.3
"Arctic Warbler",1993,10,2019,2009,-1.2,-5,1.5,0.77,-3.2,-4.5,-1.9,-2.7,-4.2,-1.1,-3.9,-7.1,-1.6
"Ash-throated Flycatcher",1970,10,2019,2009,-0.8,-1.4,-0.2,0.99,0.9,0.8,1.1,1.1,0.9,1.3,0.3,-0.2,0.9
"Bachman's Sparrow",1970,10,2019,2009,0.9,-1,2.7,0.19,-2.7,-3.1,-2.3,-2.9,-3.3,-2.5,-2,-3.7,-0.4
"Baird's Sparrow",1970,10,2019,2009,4.7,1.8,7.7,0,-1.7,-2.3,-1,-2.6,-3.4,-1.8,2,-0.4,4.7
